 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
       0        2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2100.00000 2100.00000 2350.00000 2300.00000 2300.00000 2400.00000    2.00000    0.00000    2.50000   32.00000    0.00000   36.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.20000  160.46411  402.24569  605.27882  280.00000
     100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2295.36977 2164.46145 2339.59675 2399.00704 2398.79459 2399.02131    2.48016    2.47619    2.48042   35.72224   35.66733   35.72593    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00011  356.07466  365.45301  552.32522  354.95162
     200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2312.65317 2189.17244 2331.91048 2399.01959 2399.01925 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72540   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  412.59695  422.34278  513.66394  414.17615
     300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2324.72915 2206.38790 2325.60041 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  459.40761  469.34547  484.46713  463.01928
     400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2333.71409 2219.18157 2320.32120 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  498.78714  508.83828  461.67730  503.99993
     500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2340.67865 2229.06237 2315.84780 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  532.28294  542.40746  443.45912  538.79469
     600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2346.23386 2236.90618 2312.02227 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  561.00698  571.18269  428.63053  568.59383
     700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2350.75843 2243.26175 2308.72817 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  585.79247  596.00607  416.38971  594.28197
     800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2354.50207 2248.49312 2305.87652 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  607.28367  617.52661  406.17066  616.53911
     900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2357.63753 2252.85277 2303.39746 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  625.99096  636.25743  397.56091  635.90162
    1000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2360.28900 2256.52222 2301.23497 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  642.32639  652.61224  390.25196  652.80114
    1100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2362.54860 2259.63580 2299.34336 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  656.62776  666.92990  384.00798  667.59060
    1200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2364.48639 2262.29537 2297.68488 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  669.17543  679.49143  378.64535  680.56232
    1300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2366.15686 2264.57979 2296.22799 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  680.20443  690.53237  374.01883  691.96099
    1400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2367.60310 2266.55113 2294.94611 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  689.91345  700.25176  370.01196  701.99317
